timestamps,open,close,high,low,volume,amount
2019/11/26 9:35,182.45215,184.45215,184.95215,182.45215,15136000,0
2019/11/26 9:40,184.35215,183.85215,184.55215,183.45215,4433300,0
2019/11/26 9:45,183.85215,183.35215,183.95215,182.95215,3070900,0
2019/11/26 9:50,183.35215,183.75215,183.95215,183.25215,2288600,0
2019/11/26 9:55,183.85215,183.85215,184.15215,183.75215,1770000,0
2019/11/26 10:00,183.95215,184.05215,184.25215,183.85215,1767900,0
2019/11/26 10:05,183.95215,183.95215,184.15215,183.95215,1246900,0
2019/11/26 10:10,184.05215,183.85215,184.05215,183.85215,1668400,0
2019/11/26 10:15,183.85215,183.55215,183.95215,183.55215,1044900,0
2019/11/26 10:20,183.55215,183.15215,183.65215,183.05215,2348300,0
2019/11/26 10:25,183.15215,183.65215,183.65215,183.15215,872500,0
2019/11/26 10:30,183.55215,183.45215,183.65215,183.45215,917800,0
2019/11/26 10:35,183.55215,183.55215,183.65215,183.45215,646600,0
2019/11/26 10:40,183.65215,183.55215,183.65215,183.55215,334800,0
2019/11/26 10:45,183.65215,183.55215,183.65215,183.45215,566800,0
2019/11/26 10:50,183.45215,183.35215,183.55215,183.25215,1530400,0
2019/11/26 10:55,183.45215,183.35215,183.45215,183.25215,415900,0
2019/11/26 11:00,183.35215,183.35215,183.45215,183.25215,371300,0
2019/11/26 11:05,183.45215,183.35215,183.45215,183.35215,338600,0
2019/11/26 11:10,183.35215,183.45215,183.45215,183.35215,339300,0
2019/11/26 11:15,183.45215,183.45215,183.45215,183.25215,534700,0
2019/11/26 11:20,183.45215,183.45215,183.45215,183.35215,320000,0
2019/11/26 11:25,183.45215,183.45215,183.45215,183.35215,424700,0
2019/11/26 11:30,183.35215,183.35215,183.45215,183.35215,369200,0
2019/11/26 11:35,183.45215,183.45215,183.45215,183.35215,273300,0
2019/11/26 11:40,183.35215,183.65215,183.65215,183.35215,841700,0
2019/11/26 11:45,183.65215,183.65215,183.65215,183.55215,296700,0
2019/11/26 11:50,183.65215,183.55215,183.65215,183.45215,477100,0
2019/11/26 11:55,183.45215,183.65215,183.65215,183.45215,396000,0
2019/11/26 12:00,183.65215,183.55215,183.65215,183.55215,508200,0
2019/11/26 13:05,183.65215,183.55215,183.65215,183.35215,1411600,0
2019/11/26 13:10,183.55215,183.55215,183.65215,183.45215,281500,0
2019/11/26 13:15,183.65215,183.65215,183.65215,183.55215,332500,0
2019/11/26 13:20,183.55215,183.55215,183.65215,183.45215,361400,0
2019/11/26 13:25,183.45215,183.45215,183.55215,183.45215,252300,0
2019/11/26 13:30,183.45215,183.55215,183.55215,183.45215,786300,0
2019/11/26 13:35,183.55215,183.35215,183.55215,183.35215,492000,0
2019/11/26 13:40,183.45215,183.45215,183.55215,183.35215,193000,0
2019/11/26 13:45,183.55215,183.45215,183.55215,183.35215,335600,0
2019/11/26 13:50,183.55215,183.55215,183.55215,183.45215,413100,0
2019/11/26 13:55,183.45215,183.35215,183.55215,183.35215,969200,0
2019/11/26 14:00,183.45215,183.35215,183.45215,183.25215,468300,0
2019/11/26 14:05,183.35215,183.35215,183.45215,183.25215,324300,0
2019/11/26 14:10,183.35215,183.35215,183.45215,183.25215,431100,0
2019/11/26 14:15,183.45215,183.45215,183.45215,183.35215,197900,0
2019/11/26 14:20,183.45215,183.35215,183.55215,183.35215,464600,0
2019/11/26 14:25,183.45215,183.45215,183.45215,183.35215,207400,0
2019/11/26 14:30,183.35215,183.55215,183.55215,183.35215,426900,0
2019/11/26 14:35,183.55215,183.45215,183.55215,183.45215,228600,0
2019/11/26 14:40,183.55215,183.35215,183.55215,183.25215,540800,0
2019/11/26 14:45,183.35215,183.15215,183.35215,183.15215,364500,0
2019/11/26 14:50,183.15215,183.05215,183.25215,183.05215,275400,0
2019/11/26 14:55,183.15215,183.05215,183.15215,183.05215,253200,0
2019/11/26 15:00,183.15215,183.35215,183.35215,183.05215,516200,0
2019/11/26 15:05,183.35215,183.35215,183.35215,183.25215,278400,0
2019/11/26 15:10,183.35215,183.25215,183.35215,183.15215,609700,0
2019/11/26 15:15,183.25215,183.25215,183.35215,183.15215,485100,0
2019/11/26 15:20,183.25215,183.25215,183.35215,183.15215,410200,0
2019/11/26 15:25,183.15215,183.25215,183.25215,183.15215,343300,0
2019/11/26 15:30,183.15215,182.85215,183.25215,182.85215,1005900,0
2019/11/26 15:35,182.95215,183.05215,183.05215,182.65215,864000,0
2019/11/26 15:40,182.95215,183.05215,183.25215,182.85215,789700,0
2019/11/26 15:45,183.15215,183.15215,183.15215,182.95215,389500,0
2019/11/26 15:50,183.05215,183.25215,183.25215,183.05215,766700,0
2019/11/26 15:55,183.15215,183.05215,183.25215,183.05215,946000,0
2019/11/26 16:00,183.15215,183.05215,183.15215,182.95215,3550700,0
2019/11/27 9:35,185.45215,184.95215,185.45215,184.85215,2967500,0
2019/11/27 9:40,184.95215,185.15215,185.25215,184.75215,1038200,0
2019/11/27 9:45,185.05215,185.25215,185.45215,185.05215,1143100,0
2019/11/27 9:50,185.25215,185.65215,185.65215,185.15215,1222800,0
2019/11/27 9:55,185.65215,186.35215,186.45215,185.55215,1711000,0
2019/11/27 10:00,186.45215,186.65215,186.95215,186.25215,1637600,0
2019/11/27 10:05,186.65215,186.85215,186.85215,186.55215,793400,0
2019/11/27 10:10,186.85215,187.45215,187.45215,186.75215,1016000,0
2019/11/27 10:15,187.35215,187.85215,187.85215,187.25215,1466100,0
2019/11/27 10:20,187.75215,188.25215,188.35215,187.75215,980800,0
2019/11/27 10:25,188.35215,188.25215,188.35215,187.95215,1067300,0
2019/11/27 10:30,188.25215,188.45215,188.45215,188.15215,1611500,0
2019/11/27 10:35,188.35215,188.85215,188.95215,188.25215,1242300,0
2019/11/27 10:40,188.95215,189.35215,189.35215,188.85215,1319600,0
2019/11/27 10:45,189.35215,189.85215,189.85215,189.25215,1068300,0
2019/11/27 10:50,189.75215,190.15215,190.25215,189.45215,1456800,0
2019/11/27 10:55,190.25215,190.45215,190.45215,190.15215,1026600,0
